scaling_method,root_age
mbl,255.42636359348
mbl,255.481915554428
mbl,255.672033350612
mbl,256.930651553986
mbl,258.964840897992
mbl,258.132920710254
mbl,258.411489504972
mbl,260.921913632993
mbl,258.480491088498
mbl,257.502435791134
mbl,258.081035720627
mbl,258.458856524369
mbl,260.174960551746
mbl,258.319482426741
mbl,261.91374538989
mbl,262.589951583878
mbl,263.023012709671
mbl,261.696702069729
mbl,261.941080481918
mbl,262.65177460561
mbl,262.80107442677
mbl,262.620526043423
mbl,261.421627765019
mbl,262.939075634615
mbl,254.750196604203
mbl,255.071825541188
mbl,256.18288457002
mbl,256.439700613038
mbl,255.859585862928
mbl,256.490653965925
mbl,255.176519638975
mbl,256.475579694428
mbl,256.813027969757
mbl,254.534022493444
mbl,258.31767415744
mbl,258.716787213848
mbl,259.496911704622
mbl,259.354922736012
mbl,259.29112366769
mbl,259.661368794818
mbl,259.101606731433
mbl,260.442965792688
mbl,259.62418165389
mbl,260.552518491184
mbl,256.612499680368
mbl,256.91776432123
mbl,256.657917138054
mbl,255.493900226126
mbl,256.25163623974
mbl,256.874960607344
mbl,257.714441065928
mbl,256.333505739719
mbl,255.743172208772
mbl,257.003322233641
mbl,261.944435501928
mbl,261.836499774922
mbl,262.859504226665
mbl,263.516519385867
mbl,263.152669843999
mbl,262.386092678965
mbl,261.814538140707
mbl,261.977926301567
mbl,263.050049322702
mbl,262.304114860843
mbl,261.105362135749
mbl,260.131466355752
mbl,261.162122710515
mbl,260.159370512203
mbl,261.892883453369
mbl,259.398568195272
mbl,261.320409652162
mbl,261.751759208478
mbl,260.907333035227
mbl,261.822043164559
mbl,255.347940876894
mbl,255.764613089382
mbl,254.764453528682
mbl,255.978469593851
mbl,256.370707216621
mbl,255.840271419862
mbl,255.649181251926
mbl,256.17438428655
mbl,255.586764748101
mbl,255.58966694168
mbl,261.994191877702
mbl,259.963012839169
mbl,260.785235939175
mbl,257.555223796866
mbl,258.089960418835
mbl,258.369415786082
mbl,261.686987705207
mbl,259.001286986503
mbl,260.138896174259
mbl,262.840212052492
mbl,256.615572253903
mbl,255.516306239692
mbl,255.354166187085
mbl,256.633070159829
mbl,256.075074183519
mbl,255.880102812774
mbl,255.969518643506
mbl,255.416500169358
mbl,255.930427648039
mbl,256.569187326552
mbl,255.264269445639
mbl,256.738178012548
mbl,255.951745179668
mbl,256.377421876483
mbl,255.696152242192
mbl,256.411006728304
mbl,256.20264350605
mbl,254.767022087502
mbl,256.284835769718
mbl,255.981498696459
mbl,258.857238280084
mbl,259.455300700874
mbl,257.902006813923
mbl,259.059170161246
mbl,258.244800473275
mbl,258.272369425278
mbl,257.61641513648
mbl,258.081228897257
mbl,258.255719316425
mbl,258.559498075822
mbl,257.861385791157
mbl,259.030400111221
mbl,258.583503510195
mbl,258.507694712188
mbl,259.295262890898
mbl,259.319057793457
mbl,258.704859727237
mbl,257.572033995774
mbl,258.160312985079
mbl,259.400463140174
mbl,259.372914210823
mbl,261.647328521088
mbl,259.49740217037
mbl,261.738929922408
mbl,260.300345033975
mbl,259.653739769408
mbl,259.991704473777
mbl,259.839212232968
mbl,259.64653094979
mbl,259.610616085865
mbl,255.696119512594
mbl,256.544247009072
mbl,255.222897083778
mbl,256.469119409162
mbl,256.22914311914
mbl,255.693372682366
mbl,255.336821070686
mbl,255.394464243599
mbl,256.560178959165
mbl,255.430227889377
mbl,259.045907799047
mbl,259.268213697374
mbl,257.443751598713
mbl,258.964708603725
mbl,258.391043204539
mbl,257.743647443629
mbl,258.10437415628
mbl,259.373163049223
mbl,257.332689437028
mbl,257.413826539053
mbl,259.462918071048
mbl,259.420464827726
mbl,258.459595509132
mbl,259.440368122747
mbl,260.081055365177
mbl,260.078964150185
mbl,258.543252662257
mbl,258.700991241168
mbl,259.890417995118
mbl,259.625268814056
mbl,259.640135510592
mbl,261.105082542507
mbl,259.77576206306
mbl,260.374808585828
mbl,259.708419655045
mbl,260.134217423967
mbl,260.299788287706
mbl,259.803483546502
mbl,261.309444332093
mbl,259.905171525092
mbl,258.614564275462
mbl,258.319672829949
mbl,259.540521651134
mbl,259.397562338738
mbl,258.874124016918
mbl,258.000260364963
mbl,259.882940522814
mbl,259.328381183883
mbl,259.050750380147
mbl,259.757852353575
mbl,259.827080824617
mbl,258.229702629522
mbl,259.428603063729
mbl,258.158823205973
mbl,259.483795131519
mbl,258.352910669327
mbl,258.962194843683
mbl,258.065419915244
mbl,259.815160952904
mbl,259.112027872065
mbl,262.167120475043
mbl,259.859303422435
mbl,261.04955493672
mbl,259.825258150538
mbl,261.06866792625
mbl,260.557317293207
mbl,262.273079888616
mbl,261.156254533206
mbl,260.94828415713
mbl,260.516283178034
mbl,258.318577051363
mbl,258.006556123437
mbl,256.561257362226
mbl,258.136128551501
mbl,257.190306118303
mbl,258.307073248564
mbl,256.729360391689
mbl,257.975583262381
mbl,257.348187392303
mbl,257.163031321529
mbl,260.183964642659
mbl,259.818639507105
mbl,259.819311793204
mbl,260.189157945921
mbl,259.536248269686
mbl,259.554645687402
mbl,260.105075613537
mbl,258.896708631106
mbl,259.168702932496
mbl,259.292128759972
mbl,261.111877286429
mbl,262.521961899502
mbl,260.630048145198
mbl,262.01201544577
mbl,260.770476775805
mbl,262.114153683793
mbl,261.787551002542
mbl,261.513810114441
mbl,261.946806157068
mbl,261.116878072671
mbl,259.651426652842
mbl,259.515062079579
mbl,259.277074496425
mbl,259.351573044364
mbl,260.492083105384
mbl,259.501817674423
mbl,259.537638531695
mbl,259.381573841255
mbl,260.410586706398
mbl,260.069990004401
mbl,262.524126221165
mbl,264.419292657636
mbl,265.096320161447
mbl,264.113386204932
mbl,267.843381674774
mbl,262.623847502517
mbl,264.760025040829
mbl,264.388635101202
mbl,263.638162927818
mbl,268.45412003878
mbl,256.990334889635
mbl,257.326340323919
mbl,257.158478477737
mbl,256.877749713403
mbl,256.524653662788
mbl,256.890365803102
mbl,257.247346506081
mbl,257.674487493839
mbl,256.500111103104
mbl,256.094557003807
mbl,255.44994129329
mbl,255.745683506643
mbl,255.170916288393
mbl,256.220382282408
mbl,254.678878304642
mbl,258.441971023446
mbl,257.273677896317
mbl,257.446717970627
mbl,255.19525774275
mbl,255.81324349666
mbl,260.950297591165
mbl,262.238663699329
mbl,260.67748403158
mbl,260.685468201386
mbl,260.467992886249
mbl,260.541126382113
mbl,260.252404926275
mbl,260.498301497474
mbl,260.612419539993
mbl,262.347064710148
